# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,
stats,FRONTEND,,,1,2,1024,2996,359735,6778734,0,0,2,,,,,OPEN,,,,,,,,,1,1,0,,,,0,1,0,2,,,,0,2976,0,5,14,0,,1,2,2996,,,0,0,0,0,
stats,BACKEND,0,0,1,1,103,2994,359735,6778360,0,0,,14,0,0,0,UP,0,0,0,,0,365621,0,,1,2,0,,0,,1,1,,2,,,,0,2976,0,3,14,0,,,,,0,0,0,0,0,0,
api_web1,FRONTEND,,,1,40,1024,252666,237381994,4933482650,0,0,21112,,,,,OPEN,,,,,,,,,1,3,0,,,,0,0,0,73,,,,0,189249,35307,28061,36,12,,0,81,252665,,,0,0,0,0,
api_web2,FRONTEND,,,53,317,1024,9899930,9000272309,199437690798,0,0,1008139,,,,,OPEN,,,,,,,,,1,4,0,,,,0,24,0,133,,,,0,7614754,1131355,1151798,1629,343,,23,137,9899883,,,0,0,0,0,
api_cluster,api1,0,0,0,19,,1875100,1924831200,37068218676,,0,,0,45,0,0,UP,1,1,0,1,0,365621,0,,1,5,1,,328726,,2,1,,41,L7OK,200,200,3,1593313,249972,30354,17,0,0,,,,4600,0,,,,,
api_cluster,api2,0,0,1,122,,1855309,1896935846,42314496379,,0,,0,37,0,0,UP,1,1,0,2,0,365621,0,,1,5,2,,328726,,2,6,,47,L7OK,200,218,0,1583061,239955,30843,22,0,0,,,,6162,0,,,,,
api_cluster,api3,0,0,0,25,,1831262,1838210831,43043012176,,0,,0,51,0,0,UP,1,1,0,33,0,365621,0,,1,5,3,,328725,,2,5,,43,L7OK,200,195,0,1571157,226663,31041,914,0,0,,,,5963,0,,,,,
api_cluster,api4,0,0,1,69,,1838973,1873543323,42275111893,,0,,0,74,45,0,UP,1,1,0,13,1,360008,4,,1,5,4,,328690,,2,5,,43,L7OK,200,231,1,1581057,227851,28273,62,0,0,,,,6359,0,,,,,
api_cluster,api5,0,0,1,132,,1722695,1703625373,39483842109,,0,,0,387,0,0,UP,1,1,0,18,3,25053,50,,1,5,5,,328561,,2,3,,51,L7OK,200,0,0,1475416,222221,23193,55,0,0,,,,6003,0,,,,,
api_cluster,BACKEND,0,0,4,152,205,9123415,9237168299,204184681233,0,0,,0,594,45,0,UP,5,5,0,,0,365621,0,,1,5,0,,1643428,,1,23,,122,,,,0,7804003,1166662,150726,1665,355,,,,,29115,0,0,0,0,0,
